Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
B2;48.0;2084.0;5991.0;6331.0;5314.0;2018/03/12;2018/03/18;2018;3
B3;18.0;2421.0;5459.0;6138.0;5605.0;2018/03/12;2018/03/18;2018;3
C2;985.0;2231.0;5505.0;5496.0;5159.0;2018/03/12;2018/03/18;2018;3
C3;114.0;2530.0;5109.0;5329.0;5000.0;2018/03/12;2018/03/18;2018;3
P;992.0;5324.0;2682.0;2361.0;2807.0;2018/03/12;2018/03/18;2018;3
O;117.0;4884.0;2442.0;1877.0;2730.0;2018/03/12;2018/03/18;2018;3
R;22.0;4816.0;1830.0;1150.0;2750.0;2018/03/12;2018/03/18;2018;3
C;6.0;4850.0;1975.0;1848.0;2300.0;2018/03/12;2018/03/18;2018;3
U;2.0;5135.0;2250.0;1700.0;2700.0;2018/03/12;2018/03/18;2018;3
S;5.0;3520.0;1800.0;1800.0;1800.0;2018/03/12;2018/03/18;2018;3
P;386.0;6062.0;2559.0;2406.0;2725.0;2018/03/12;2018/03/18;2018;3
O;50.0;6090.0;2571.0;2440.0;2725.0;2018/03/12;2018/03/18;2018;3
R;16.0;5949.0;2297.0;2059.0;2668.0;2018/03/12;2018/03/18;2018;3
C;4.0;6350.0;2113.0;1850.0;2400.0;2018/03/12;2018/03/18;2018;3
U;4.0;6245.0;1672.0;1500.0;1850.0;2018/03/12;2018/03/18;2018;3
S;2.0;6460.0;1850.0;1850.0;1850.0;2018/03/12;2018/03/18;2018;3
P;4749.0;7538.0;2464.0;2332.0;2662.0;2018/03/12;2018/03/18;2018;3
O;1794.0;7663.0;2462.0;2294.0;2667.0;2018/03/12;2018/03/18;2018;3
R;220.0;7683.0;2440.0;2180.0;2598.0;2018/03/12;2018/03/18;2018;3
C;28.0;7892.0;2031.0;1850.0;2272.0;2018/03/12;2018/03/18;2018;3
U;7.0;8214.0;1916.0;1838.0;2032.0;2018/03/12;2018/03/18;2018;3
S;13.0;8176.0;2029.0;1800.0;2400.0;2018/03/12;2018/03/18;2018;3
P;2191.0;8633.0;2480.0;2261.0;2640.0;2018/03/12;2018/03/18;2018;3
O;2197.0;8810.0;2502.0;2267.0;2632.0;2018/03/12;2018/03/18;2018;3
R;541.0;8975.0;2471.0;2108.0;2568.0;2018/03/12;2018/03/18;2018;3
C;72.0;8944.0;2119.0;2078.0;2133.0;2018/03/12;2018/03/18;2018;3
U;8.0;8643.0;2003.0;1800.0;2200.0;2018/03/12;2018/03/18;2018;3
S;35.0;9871.0;2064.0;1776.0;2232.0;2018/03/12;2018/03/18;2018;3
BP;7602.0;72.57;26.84;23.5;30.49;2017/03/13;2017/03/19;2017;3
BO;3188.0;74.68;27.38;23.5;29.14;2017/03/13;2017/03/19;2017;3
BR;289.0;75.77;26.34;23.0;28.5;2017/03/13;2017/03/19;2017;3
