Type;Class;Units;Avg_Mass (kg);Avg_Purchase;Avg_Selling;Selling_Min;Selling_Max;Start_date;End_date
Cattle;A3;1370.0;272.6;38.35;38.14;36.5;40.42;2016/09/05;2016/09/11
Cattle;AB2;523.0;259.44;35.39;36.42;30.26;39.83;2016/09/05;2016/09/11
Cattle;AB3;112.0;284.93;35.11;36.68;31.0;39.9;2016/09/05;2016/09/11
Cattle;B2;495.0;259.42;33.52;33.99;29.95;39.8;2016/09/05;2016/09/11
Cattle;B3;109.0;282.64;33.19;34.39;31.0;39.8;2016/09/05;2016/09/11
Cattle;C2;2219.0;249.71;32.08;32.66;29.0;36.48;2016/09/05;2016/09/11
Cattle;C3;664.0;288.95;32.18;32.68;29.0;36.72;2016/09/05;2016/09/11
Cattle;A2;12028.0;255.85;38.0;37.59;34.93;40.0;2016/09/12;2016/09/18
Cattle;A3;1130.0;272.64;37.96;37.84;35.99;40.0;2016/09/12;2016/09/18
Cattle;AB2;498.0;262.0;36.26;36.37;28.5;39.9;2016/09/12;2016/09/18
Cattle;AB3;97.0;288.04;36.26;36.26;34.77;39.9;2016/09/12;2016/09/18
Cattle;B2;534.0;246.93;33.39;34.09;29.95;39.8;2016/09/12;2016/09/18
Cattle;B3;67.0;269.63;33.21;33.98;29.41;39.8;2016/09/12;2016/09/18
Cattle;C2;1900.0;252.82;32.03;32.54;30.29;36.92;2016/09/12;2016/09/18
