Date,Product,Variety,Class,Size,Package,Unit(kg),Closing Price,High Price,Low Price,Average Price,Total Sales(Rand),Sales Quantity,Closing Stock,Day,Month,Week
2023-03-22,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,28,22,3,12
2023-03-20,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,0.0,0.0,0.0,0.0,0,0,1,20,3,12
2023-03-20,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,28,20,3,12
2023-03-14,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,0.0,0.0,0.0,0.0,0,0,1,14,3,11
2023-03-14,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,28,14,3,11
2023-03-13,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,10.0,10.0,10.0,10.0,50,5,1,13,3,11
2023-03-13,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,28,13,3,11
2023-03-10,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,165.35,200.0,150.0,175.0,4630,28,17,10,3,10
2023-03-10,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,66.21,100.0,60.0,80.0,4900,74,28,10,3,10
2023-03-08,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,250.0,250.0,250.0,250.0,500,2,4,8,3,10
2023-03-08,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,75.1,100.0,60.0,80.0,3680,49,81,8,3,10
2023-03-07,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,150.0,150.0,150.0,150.0,1650,11,6,7,3,10
2023-03-07,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,86.66,100.0,80.0,90.0,1300,15,30,7,3,10
2023-03-06,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,150.0,150.0,150.0,150.0,1950,13,17,6,3,10
2023-03-06,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,71.42,100.0,60.0,80.0,4000,56,45,6,3,10
2023-03-03,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,200.0,200.0,200.0,200.0,3400,17,50,3,3,9
