Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
C2,921,23.35,50.10,53.91,52.09,57.46
C3,106,25.98,48.57,53.98,50.86,58.86
B2,631,267.58,46.82,47.73,45.53,53.18
B3,52,290.10,46.17,46.91,46.45,48.60
C2,563,265.94,45.03,46.41,42.65,51.61
C3,163,286.85,45.52,46.31,44.00,51.03
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,14,13.38,61.36,69.83,66.66,71.49
A1,263,16.19,84.45,85.09,83.27,85.66
A2,7427,20.36,85.19,85.12,82.87,85.71
A3,835,21.49,81.89,81.07,76.61,82.22
A4,161,20.50,75.20,73.02,72.63,73.88
A5,32,20.36,68.43,64.25,63.81,65.17
A6,28,19.44,70.22,64.76,64.76,64.76
AB2,37,18.08,73.86,75.90,75.29,76.18
B2,109,20.90,66.39,73.03,72.66,73.16
B3,8,26.25,64.36,72.05,70.22,74.90
C2,488,23.39,55.09,58.72,48.00,67.53
C3,55,26.80,58.39,62.55,51.55,67.30
>100kg,SAU,1255,125.79,24.63,22.01,26.94
A2,8292,262.54,48.39,46.04,39.77,49.42
A3,1067,280.19,48.45,47.82,44.28,49.85
AB2,663,258.89,46.23,44.58,41.61,48.06
AB3,115,277.68,46.54,44.17,41.65,47.45
B2,472,253.98,40.04,40.59,37.94,43.01
B3,95,265.92,40.04,40.55,38.14,44.46
C2,1440,246.03,37.45,37.26,35.68,38.95
C3,419,280.75,37.74,37.17,35.82,39.19
A0,213,14.51,52.21,38.24,47.85,54.00
A2,11135,19.37,64.44,65.16,62.75,67.24
A3,2038,22.17,64.49,64.15,60.99,70.50
A4,317,21.89,53.63,57.51,55.23,60.46
A5,42,21.90,44.87,50.30,48.40,51.84
A6,82,19.85,40.63,49.41,36.02,48.72
AB2,137,18.84,51.49,50.93,44.00,58.00
AB3,24,21.57,53.55,54.88,53.04,58.00
B2,69,23.41,47.84,49.10,46.38,55.36
B3,17,25.29,51.77,50.22,40.44,46.47
