Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
C2,1669,269.05,37.03,39.33,36.66,42.56
C3,601,307.33,37.40,39.73,37.14,42.60
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,85,17.30,51.79,61.50,59.90,62.00
A1,319,17.29,64.71,68.19,65.57,69.52
A2,7236,22.27,67.73,70.24,67.58,72.48
A3,1024,24.51,69.05,70.22,69.01,72.26
A4,97,26.17,61.86,62.62,61.79,63.46
A5,29,27.64,58.33,55.17,53.80,60.80
A6,37,22.75,54.54,60.31,52.35,63.04
AB2,100,22.55,57.13,63.23,61.19,64.04
AB3,5,30.56,60.00,62.71,61.74,67.00
B2,170,25.05,51.84,54.88,50.73,58.48
B3,6,26.59,50.25,53.73,48.70,56.66
C2,1028,24.19,49.72,53.15,49.43,55.08
C3,80,28.79,50.91,54.37,51.94,55.00
A2,8824,261.64,46.75,47.11,45.03,48.11
A3,876,275.65,46.53,47.01,44.71,48.41
AB2,620,270.40,45.47,45.99,43.25,47.79
AB3,115,278.21,44.74,45.24,43.36,47.72
B2,405,253.42,43.33,43.32,40.65,46.65
B3,122,283.43,42.70,43.58,42.05,46.30
C2,1417,263.21,41.64,41.39,39.06,42.98
C3,763,293.42,41.45,41.59,38.95,42.80
A0,308,14.20,67.82,66.60,62.96,69.37
A1,1122,16.46,77.22,76.14,71.08,78.91
A2,10011,20.31,78.75,75.16,67.45,81.93
A3,1334,22.55,78.58,72.82,67.17,81.60
A4,276,24.13,70.04,63.69,58.76,74.61
A5,64,25.92,62.18,63.50,50.70,74.26
A6,74,25.29,61.30,57.69,50.13,69.95
AB2,430,21.01,62.68,65.73,60.44,81.80
AB3,25,27.63,64.38,62.05,58.15,71.00
B2,214,23.92,62.38,64.04,60.33,70.98
B3,57,29.80,61.29,63.43,58.79,69.31
C2,1085,25.19,61.13,62.55,58.54,67.38
C3,271,28.57,60.90,62.25,56.33,66.81
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,13.78
B2,552,280.65,42.33,43.27,42.25,44.26
B3,170,313.07,41.77,43.48,42.60,44.26
C3,730,302.75,39.91,42.10,39.99,43.53
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,12,13.86,70.94,69.63,65.21,71.42
A1,173,15.15,77.08,71.90,67.84,78.95
A3,529,24.13,80.41,77.70,70.91,82.24
A4,95,24.85,73.77,71.95,62.46,78.79
A5,13,21.68,61.63,60.09,53.63,75.00
A6,10,25.39,59.91,67.17,52.00,78.00
AB2,118,21.24,69.91,70.98,65.54,73.62
AB3,18,30.70,59.33,66.20,63.83,72.00
B2,234,21.80,69.00,71.55,70.12,72.00
B3,39,26.93,64.65,68.62,63.43,71.00
C2,383,24.46,54.80,65.13,56.99,68.09
C3,91,29.48,64.26,60.70,52.09,67.06
P,1,490,51.13,24.91,23.09,25.50
P,1,009,61.25,23.73,21.64,24.48
P,6,682,74.12,23.14,21.86,25.27
O,2,689,76.44,23.47,21.94,26.12
P,3,183,84.39,22.32,22.07,22.70
O,6,105,86.48,22.01,21.41,22.70
A2,11394,257.24,38.33,37.85,36.50,43.00
A3,1370,272.60,38.35,38.14,36.50,40.42
AB2,523,259.44,35.39,36.42,30.26,39.83
AB3,112,284.93,35.11,36.68,31.00,39.90
B2,495,259.42,33.52,33.99,29.95,39.80
B3,109,282.64,33.19,34.39,31.00,39.80
C2,2219,249.71,32.08,32.66,29.00,36.48
C3,664,288.95,32.18,32.68,29.00,36.72
A0,227,14.85,51.68,52.91,40.00,55.00
A1,793,16.78,59.95,60.01,54.08,62.33
A2,9837,21.09,62.16,60.05,55.55,64.37
A3,1757,23.17,62.09,58.69,55.67,63.64
A4,397,23.06,52.19,51.74,47.70,57.64
A5,76,23.34,47.84,45.94,38.13,64.00
A6,62,20.82,47.95,45.70,40.08,50.67
AB2,148,22.77,56.78,56.35,46.66,65.17
AB3,40,24.52,54.75,56.57,45.50,69.00
B2,315,25.94,48.24,50.66,42.00,58.85
B3,74,28.89,48.76,50.40,42.00,58.00
C2,418,25.84,49.91,51.82,46.17,57.00
C3,128,28.47,49.90,50.83,40.00,57.00
B2,292,307.44,41.65,42.74,39.79,44.43
B3,52,309.62,41.73,42.38,40.70,44.53
C2,914,269.28,39.72,40.74,38.92,42.71
C3,193,301.23,39.92,41.10,39.76,42.79
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,13,13.90,71.65,78.74,75.43,80.28
A1,161,13.81,86.92,77.03,63.07,88.16
A2,3822,21.36,87.54,79.63,71.47,92.82
A3,560,22.52,87.77,75.55,71.05,91.42
A4,108,23.63,78.70,66.81,63.03,79.99
A5,42,19.51,72.37,68.84,60.88,78.07
A6,55,20.07,71.26,71.69,66.97,73.45
AB2,310,21.03,76.40,73.69,62.52,80.15
AB3,17,24.59,74.20,72.20,61.85,82.00
B2,513,22.49,72.07,72.66,65.96,74.64
B3,20,26.41,65.07,62.14,55.65,74.25
C2,572,25.52,65.41,68.01,62.23,69.55
C3,59,27.94,65.42,66.74,53.44,75.39
>100kg,SAU,1217,133.57,20.08,17.56,24.15
B2,313,280.85,42.28,44.04,40.86,45.50
B3,28,293.27,41.74,42.24,39.99,44.90
C2,945,260.90,39.68,40.78,38.86,42.89
C3,179,298.09,40.06,40.71,38.68,43.03
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,15,12.76,73.07,74.80,65.00,80.00
A1,85,14.70,87.48,87.23,78.15,89.58
A2,5135,20.54,88.16,90.06,89.22,91.40
A3,895,23.17,87.45,89.59,88.68,91.74
A4,193,24.66,79.71,80.46,79.71,82.81
A5,12,26.25,72.11,71.96,70.18,78.50
A6,24,25.05,70.97,72.60,70.36,78.00
AB2,44,20.51,74.63,76.17,70.50,79.56
AB3,16,24.51,77.86,78.91,77.00,83.67
B2,250,22.00,68.48,72.84,68.78,74.86
B3,19,28.52,69.66,71.70,66.00,75.00
C2,563,24.64,66.37,69.12,65.83,74.03
C3,52,29.08,67.20,69.12,66.00,71.50
A2,9625,263.12,46.74,46.96,44.84,48.09
A3,973,252.84,46.53,46.99,44.82,48.38
AB2,645,270.48,45.37,45.99,43.27,47.78
AB3,115,278.21,44.74,45.24,43.36,47.72
B2,419,253.00,43.28,43.24,40.44,46.63
B3,122,283.43,42.70,43.58,42.05,46.30
C2,1458,263.32,41.60,41.34,38.98,42.99
C3,764,292.20,41.46,41.58,38.95,42.80
A0,314,14.22,68.36,66.51,62.60,69.33
A1,1133,16.45,77.14,76.07,70.79,78.88
A2,10082,20.33,78.74,75.19,67.45,82.09
A3,1341,22.57,78.56,72.83,67.17,81.59
A4,279,24.15,70.08,63.80,58.76,74.66
A5,64,25.92,62.18,63.50,50.70,74.26
A6,76,25.34,61.57,58.06,50.13,70.27
AB2,432,21.05,62.73,65.77,60.44,81.87
AB3,25,27.62,64.38,62.05,58.15,71.00
B2,216,23.95,62.39,64.07,60.33,70.98
B3,61,30.11,61.42,63.69,58.98,69.28
C2,1107,25.21,61.13,62.64,58.59,67.54
C3,286,28.72,60.95,62.22,56.44,66.85
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,13.70
B2,374,266.38,41.57,42.77,40.87,43.91
B3,141,294.54,41.08,42.41,38.79,43.94
C3,707,292.81,39.85,41.60,40.17,42.64
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,33,11.79,57.28,61.19,60.00,64.84
A1,247,14.38,77.08,71.04,68.19,76.81
A3,928,22.27,79.65,72.61,70.65,79.29
A4,264,21.40,68.55,62.94,60.94,65.99
A5,70,21.85,59.75,57.12,53.70,63.50
A6,81,20.23,61.85,55.97,52.06,63.00
AB2,53,20.52,68.95,69.23,62.80,71.80
AB3,11,26.33,65.69,62.14,61.28,66.10
B2,135,22.11,68.69,69.82,62.55,71.85
B3,31,27.63,64.38,64.41,54.04,69.62
C2,719,24.30,66.85,67.29,59.84,71.99
C3,188,30.72,60.89,59.66,53.59,67.37
P,1,446,51.38,25.62,22.80,26.50
P,1,076,60.95,24.31,23.53,25.31
P,6,272,73.79,23.66,22.17,25.42
O,1,920,76.53,24.23,22.28,26.25
P,2,787,83.75,22.57,22.11,23.33
O,3,755,86.10,22.52,22.23,23.21
A2,12028,255.85,38.00,37.59,34.93,40.00
A3,1130,272.64,37.96,37.84,35.99,40.00
AB2,498,262.00,36.26,36.37,28.50,39.90
AB3,97,288.04,36.26,36.26,34.77,39.90
B2,534,246.93,33.39,34.09,29.95,39.80
B3,67,269.63,33.21,33.98,29.41,39.80
C2,1900,252.82,32.03,32.54,30.29,36.92
C3,623,282.23,32.22,32.61,30.00,35.76
A0,308,14.85,53.34,53.07,47.00,55.00
A1,1114,16.67,59.99,60.37,54.63,68.00
A2,11055,20.55,61.58,60.13,55.62,63.94
A3,2381,22.72,61.87,59.79,55.74,65.00
A4,365,23.37,52.78,51.78,46.50,58.33
A5,108,23.00,47.87,48.70,39.87,54.15
A6,113,22.73,47.81,47.92,40.11,55.45
AB2,198,21.22,53.31,53.11,46.52,65.24
AB3,45,21.73,51.01,50.69,44.14,61.35
B2,281,26.18,48.67,51.45,43.53,55.00
B3,100,28.34,48.73,50.38,41.00,53.00
C2,707,25.89,48.13,48.77,43.93,55.00
C3,219,29.23,48.39,48.05,42.62,55.00
B2,492,267.79,39.22,40.18,36.62,43.54
B3,82,303.59,40.37,40.64,39.56,43.28
C2,1737,264.44,37.11,39.60,37.18,42.58
C3,554,301.73,37.33,40.04,37.32,42.58
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,100,11.74,57.03,60.02,58.61,61.70
A1,331,14.18,66.33,67.90,67.10,68.18
A2,7747,21.99,68.85,70.33,68.19,72.30
A3,1082,24.03,68.86,69.91,69.15,70.52
A4,138,22.83,61.01,61.06,57.32,63.65
A5,31,23.59,58.28,52.92,50.00,58.37
A6,22,19.83,56.06,49.76,46.19,52.35
AB2,301,22.42,57.68,62.65,61.39,63.69
AB3,17,26.20,58.76,62.08,61.70,67.00
B2,267,23.07,54.00,58.82,55.32,60.00
B3,6,23.45,48.18,56.03,55.60,58.00
C2,918,24.54,51.24,54.61,48.72,59.29
C3,134,32.35,56.36,58.29,52.65,60.00
A2,9714,260.28,46.42,45.55,40.98,47.85
A3,1279,275.47,46.27,46.08,44.37,47.72
AB2,885,270.70,45.46,45.75,42.92,48.93
AB3,217,281.58,45.17,45.09,43.38,47.82
B2,771,261.52,43.12,43.85,40.23,48.00
B3,294,287.87,42.49,43.89,41.85,48.00
C2,1434,255.21,41.41,40.35,37.45,42.72
C3,731,284.38,41.50,40.52,38.02,42.68
A0,273,13.98,66.61,66.92,65.72,67.33
A1,955,16.88,76.03,75.60,65.12,78.00
A2,9677,20.62,78.22,73.57,67.60,79.42
A3,1639,23.01,78.53,71.63,67.39,77.22
A4,254,24.85,71.38,62.37,58.91,74.85
A5,45,26.92,63.25,58.07,50.76,71.89
A6,16,24.81,62.61,55.08,50.23,69.00
AB2,145,20.91,68.61,68.74,60.65,72.21
AB3,31,24.08,67.57,59.56,55.33,68.07
B2,95,22.06,65.93,66.98,57.89,72.00
B3,39,24.86,62.10,59.88,52.94,68.03
C2,820,23.89,61.27,61.67,54.81,66.72
C3,265,25.93,59.77,59.15,50.85,65.07
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,13.42
B2,507,271.91,42.13,42.79,41.38,43.74
B3,110,299.68,41.69,42.72,41.79,43.99
C3,597,295.53,39.86,41.28,40.37,42.13
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,17,11.22,50.48,65.75,60.42,72.00
A1,328,15.13,76.77,70.07,68.09,75.88
A4,272,21.16,67.59,63.74,62.45,68.15
A5,60,21.90,62.21,60.46,53.71,70.12
A6,114,21.02,64.26,53.46,52.08,67.23
AB2,49,21.38,64.51,69.11,62.45,72.14
AB3,7,23.87,60.77,66.31,62.02,71.00
B2,86,25.65,64.55,68.99,61.63,72.50
B3,8,29.91,59.26,65.76,59.56,68.00
C2,790,25.86,61.24,65.23,59.83,72.50
C3,119,29.63,62.63,66.09,53.87,72.50
P,1,588,52.37,25.71,23.03,26.50
P,6,707,74.10,24.28,22.65,26.35
O,2,461,75.98,24.64,22.89,26.95
P,3,075,84.27,23.87,23.69,24.03
O,5,433,86.18,23.58,23.11,23.95
A2,9627,258.68,37.89,37.80,30.82,40.01
A3,969,269.58,37.91,38.05,36.50,40.00
AB2,313,257.09,35.96,37.28,31.00,40.97
AB3,72,278.20,35.69,37.91,32.00,40.97
B2,327,250.62,33.03,33.89,30.68,40.37
B3,89,286.13,33.37,34.74,32.00,40.37
C2,1459,256.79,32.36,32.64,29.00,35.50
C3,457,284.15,32.63,33.03,30.49,35.50
A0,398,14.28,51.16,50.52,44.57,55.00
A1,1779,16.68,58.64,60.76,52.62,64.00
A2,12890,19.96,61.31,60.01,55.66,63.10
A3,2537,21.87,61.50,59.62,55.80,62.71
A4,472,21.55,52.39,52.39,47.72,58.46
A5,196,22.08,48.57,48.38,42.88,54.29
A6,186,20.96,47.50,47.80,40.13,55.00
AB2,270,19.58,51.83,52.98,46.75,56.52
AB3,64,22.72,52.64,52.75,46.16,57.00
B2,407,22.41,48.32,51.05,43.52,55.12
B3,127,26.85,47.78,49.27,43.92,54.93
C2,1176,25.59,48.14,47.56,40.67,52.68
C3,503,27.49,48.07,46.51,40.47,50.00
B2,327,258.91,38.89,40.52,37.60,44.16
B3,63,293.72,39.57,40.37,38.67,43.46
C2,1290,264.99,36.99,39.03,36.58,42.77
C3,477,295.02,37.36,39.46,36.71,42.63
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,104,12.13,43.85,58.07,56.24,60.00
A1,482,13.21,64.13,67.43,64.93,68.18
A2,6654,21.71,67.96,69.81,66.77,71.01
A3,667,23.54,67.57,69.88,69.44,70.21
A4,55,24.10,59.74,60.97,58.57,62.08
A5,12,29.32,56.25,55.72,53.80,58.00
A6,3,25.83,56.45,56.66,52.35,63.00
AB2,78,19.91,54.54,61.49,59.75,62.90
AB3,1,19.70,49.00,61.72,61.72,61.72
B2,185,21.49,52.36,57.45,54.49,59.44
B3,16,25.62,50.87,55.23,55.00,55.60
C2,780,24.12,49.73,52.70,49.00,53.79
C3,93,28.06,50.50,53.87,53.14,55.00
A2,10284,261.70,46.56,46.50,44.63,48.17
A3,1253,270.14,46.52,46.29,44.40,48.42
AB2,954,271.69,45.33,46.29,42.86,47.73
AB3,204,283.13,45.42,46.09,42.82,49.31
B2,744,263.87,42.83,43.91,40.72,47.93
B3,270,281.74,42.50,44.21,42.29,48.00
C2,1206,258.80,41.21,40.51,38.26,42.35
C3,621,287.71,41.30,41.30,39.23,42.72
A0,255,14.84,70.55,67.22,63.82,70.20
A1,1678,16.97,78.42,75.91,67.61,79.62
A2,12935,20.69,78.87,74.55,67.96,80.55
A3,1670,23.55,78.71,71.35,67.51,78.37
A4,317,23.18,72.59,63.48,59.15,76.95
A5,62,22.38,64.07,64.87,50.96,73.33
A6,54,20.28,65.10,63.78,50.29,74.00
AB2,243,23.23,68.32,67.88,60.86,70.97
AB3,35,24.91,64.79,65.95,57.57,76.32
B2,222,27.00,58.33,61.10,56.13,65.09
B3,44,28.78,59.89,60.41,53.35,65.91
C2,649,25.80,58.15,59.43,54.49,64.30
C3,175,29.44,59.15,59.54,51.99,64.06
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,13.47
A2,13140,255.67,37.89,38.08,34.00,40.50
A3,1199,269.82,37.74,38.12,34.82,40.50
AB2,409,263.89,36.39,36.96,32.00,41.31
AB3,73,274.20,36.07,36.60,32.00,41.31
B2,349,245.71,33.64,35.32,31.95,41.51
B3,52,288.12,33.53,34.27,31.80,41.51
C2,1228,248.31,32.42,32.60,29.41,34.78
C3,457,279.34,32.73,32.90,29.41,35.50
A0,26,14.26,47.71,51.16,44.84,58.00
A1,246,15.94,58.48,57.52,52.05,63.00
A2,6237,21.57,63.36,58.24,55.72,63.50
A3,1583,24.25,63.47,57.38,55.81,62.27
A4,257,25.07,51.97,49.31,47.75,54.06
A5,34,23.53,45.60,46.43,39.92,52.77
A6,23,25.83,45.51,43.76,40.14,54.18
AB2,109,23.56,54.19,56.48,46.79,59.95
AB3,31,28.09,55.10,56.19,46.23,59.41
B2,83,25.38,50.32,51.24,43.00,53.37
B3,18,29.73,51.42,51.99,43.97,53.00
C2,732,25.63,49.35,49.33,44.23,55.22
C3,170,29.31,49.80,48.64,40.00,53.00
B2,344,291.95,41.25,41.49,39.05,43.48
B3,105,307.06,40.82,40.92,38.50,43.19
C3,478,307.07,39.57,39.62,38.49,41.07
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,29,11.94,52.99,64.76,60.60,70.00
A1,248,17.24,70.54,72.39,68.40,77.82
A4,321,22.36,67.87,63.71,62.51,67.56
A5,60,22.50,61.53,58.01,53.79,65.99
A6,157,20.82,61.23,55.45,52.19,67.85
AB2,124,25.99,69.30,71.07,65.17,73.03
AB3,18,28.35,71.40,71.48,66.09,73.42
B2,161,23.06,67.80,70.86,66.98,71.84
B3,5,25.08,61.48,58.29,55.11,68.50
C2,603,25.55,58.85,61.31,54.47,68.98
C3,146,28.05,57.33,54.65,51.52,60.88
P,1,549,52.15,26.61,24.88,27.17
P,6,279,74.89,24.71,23.62,25.96
O,2,302,76.06,24.97,23.69,26.51
P,3,438,84.70,24.00,23.13,24.59
O,5,395,86.56,23.99,23.58,24.37
A2,12204,262.79,35.46,35.42,33.00,36.00
A3,1597,276.45,35.63,35.43,32.76,36.00
AB2,356,257.41,33.96,33.30,28.17,35.30
AB3,72,287.05,34.30,32.55,30.00,35.30
B2,221,241.12,30.29,30.59,26.93,34.90
B3,48,274.64,31.23,30.70,27.00,34.90
C2,1362,246.64,28.65,28.49,24.26,31.00
C3,256,288.49,29.32,29.12,26.01,32.80
A0,303,11.49,43.62,44.11,38.00,53.00
A1,1141,14.68,53.05,55.55,45.00,56.71
A2,10912,19.30,54.76,56.38,52.00,62.21
A3,2730,21.70,55.08,55.89,52.00,60.59
A4,337,21.84,46.29,48.63,45.50,60.59
A5,57,21.28,40.98,41.11,36.50,48.00
A6,88,19.69,41.10,40.89,35.00,48.30
AB2,270,19.12,45.90,51.47,44.30,395.00
AB3,49,23.31,47.34,49.53,44.30,56.25
B2,99,23.28,42.78,43.65,40.00,49.00
B3,25,26.28,42.09,43.71,41.01,51.95
C2,530,22.79,40.88,42.25,36.60,51.00
C3,108,25.23,40.57,42.08,39.49,44.99
15,17,19,21,23,25,27
B2,422,249.92,43.18,44.21,42.30,45.43
B3,112,294.62,43.50,44.41,43.15,45.45
C2,1108,251.48,42.55,42.36,40.75,44.74
C3,464,275.81,42.90,42.97,41.45,45.24
A0,59,14.82,65.24,67.79,64.00,68.00
A1,318,16.88,73.76,76.59,66.12,78.00
A2,9682,21.69,73.03,72.60,70.03,73.25
A3,1690,24.49,73.14,71.58,70.39,73.32
A4,284,25.67,84.04,63.88,61.94,71.89
A5,24,24.90,58.63,57.66,53.01,65.25
A6,13,26.80,58.81,55.97,51.20,67.98
AB2,256,22.18,64.06,63.56,57.30,70.71
AB3,36,23.73,63.50,63.75,62.13,67.92
B2,268,24.15,56.11,59.68,46.60,64.89
B3,11,29.45,55.42,56.21,50.00,58.00
C2,770,24.88,51.56,54.13,50.11,57.93
C3,96,36.63,54.22,55.49,51.60,57.10
A2,12466,262.22,40.49,40.84,38.07,44.15
A3,1582,281.45,40.45,41.09,38.00,44.15
AB2,501,265.41,39.12,39.27,31.50,44.23
AB3,97,270.83,38.73,38.96,34.00,41.50
B2,325,244.16,35.87,37.51,32.50,44.26
B3,88,282.22,35.69,37.06,32.50,39.50
C2,1545,246.58,34.83,35.07,27.59,37.50
C3,371,281.69,34.94,35.58,32.50,38.00
A0,404,14.54,60.22,59.67,45.32,60.47
A1,1483,16.34,67.79,67.80,55.00,72.00
A2,10350,19.68,69.10,68.09,65.29,75.52
A3,1962,22.15,69.56,67.08,65.21,76.42
A4,247,23.46,58.19,58.69,57.50,70.00
A5,35,22.31,49.25,52.93,45.89,67.00
A6,64,21.98,50.42,50.46,46.93,67.00
AB2,372,21.59,61.65,59.35,49.00,65.00
AB3,159,24.51,62.20,56.70,51.51,64.25
B2,336,23.98,52.31,54.75,49.00,60.00
B3,85,28.65,50.66,52.71,48.00,58.00
C2,883,24.30,51.10,52.57,47.49,58.00
B2,248,271.53,37.21,38.30,35.66,41.52
B3,79,319.13,37.03,37.52,35.97,41.53
C2,894,260.21,37.77,39.63,36.77,41.07
C3,205,294.24,38.68,39.30,36.23,41.17
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,22,13.36,42.13,57.14,48.75,60.50
A1,191,14.52,59.95,65.83,59.57,68.92
A2,5716,21.97,61.54,67.76,57.70,71.38
A3,1073,22.95,63.08,70.41,68.26,71.03
A4,136,22.47,55.56,60.71,53.42,66.20
A5,19,21.83,49.74,56.99,53.87,63.97
A6,27,21.59,47.07,52.42,52.00,53.57
AB2,9,18.45,58.51,61.75,60.00,65.31
AB3,6,24.63,59.70,65.28,58.00,67.00
B2,236,25.71,60.40,60.13,59.76,60.21
B3,44,28.15,60.00,57.97,55.88,58.00
C2,378,23.51,51.39,57.83,55.75,58.34
C3,18,25.84,50.68,53.17,53.00,54.31
A2,8463,251.74,45.24,45.74,38.51,48.46
A3,1205,281.37,46.38,46.65,44.83,48.24
AB2,721,266.97,45.63,45.69,43.58,48.28
AB3,166,291.89,45.37,45.59,43.49,47.52
B2,584,262.11,43.02,43.57,40.72,45.54
B3,236,292.88,42.22,43.19,41.87,44.61
C2,968,247.73,41.54,40.95,38.61,42.35
C3,472,282.37,41.54,41.16,38.81,42.09
A0,221,14.34,67.49,67.28,65.59,70.20
A1,964,16.52,77.92,73.84,64.05,79.01
A2,10413,20.49,76.89,73.31,68.14,79.51
A3,1385,23.62,74.68,71.29,67.69,79.50
A4,251,24.98,66.68,62.28,59.13,73.38
A5,34,25.29,62.84,60.34,51.01,71.11
A6,42,19.85,65.86,58.46,50.30,70.00
AB2,141,22.52,63.73,61.81,50.22,71.98
AB3,29,27.23,66.02,66.66,56.33,75.98
B2,304,26.27,56.42,58.08,43.18,65.69
B3,58,32.26,57.42,59.62,48.87,66.76
C2,760,25.35,54.17,55.09,44.55,66.49
C3,166,30.09,57.34,60.84,50.28,67.00
PIGS,Units,Avg,Avg,Purch,Purch,Purch
Mass,Price,Min,Max,Hide,Feedlot,12.87
A2,12967,256.91,37.94,37.70,36.50,43.00
A3,1214,277.27,38.03,37.84,36.50,40.80
AB2,428,259.88,36.27,36.81,30.05,39.80
AB3,98,288.83,36.02,36.63,32.00,39.80
B2,419,692.24,32.59,32.31,29.95,36.50
B3,107,284.63,33.49,34.62,31.08,36.50
C2,1860,245.00,32.22,33.09,30.11,35.50
C3,636,281.36,32.66,33.86,30.11,35.50
A0,324,13.16,47.87,49.06,41.00,55.12
A1,1809,16.16,59.00,60.50,57.21,63.00
A2,13882,20.23,58.75,60.04,55.80,64.58
A3,2701,22.46,60.09,58.92,55.95,62.71
A4,581,22.94,51.34,51.54,47.77,55.38
A5,198,22.68,47.01,47.49,43.36,52.50
A6,289,21.44,46.33,44.99,40.00,49.54
AB2,364,20.31,47.85,50.19,39.00,55.68
AB3,67,24.15,46.91,49.19,41.00,59.00
B2,337,25.59,48.02,49.59,43.60,57.00
B3,84,28.00,46.13,49.07,43.86,51.48
C2,1296,25.62,47.38,47.31,44.00,56.00
C3,374,28.46,46.63,47.67,40.76,56.00
B2,367,260.16,40.99,42.54,40.37,44.10
B3,106,292.42,42.49,42.82,41.52,42.41
C3,589,303.60,39.62,41.44,39.82,42.52
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,13,9.99,42.60,62.92,60.70,70.00
A1,316,14.46,76.02,69.92,68.45,74.80
A4,239,23.98,66.69,64.00,62.55,71.37
A5,53,25.81,63.97,65.09,53.77,74.00
A6,56,21.87,59.15,56.97,52.22,65.00
AB2,100,26.90,69.67,69.33,62.65,74.04
AB3,24,29.23,69.62,69.90,56.03,73.80
B2,91,25.93,65.82,66.51,56.94,72.00
B3,11,31.23,59.45,58.89,55.11,71.00
C2,679,26.78,62.38,62.29,54.54,71.00
C3,94,32.33,61.58,59.96,53.91,70.34
P,1,557,50.48,26.74,24.19,27.50
P,1,204,61.75,25.63,24.27,26.48
P,7,760,74.73,24.92,23.52,25.84
O,2,656,76.07,25.11,23.87,26.52
P,3,596,84.49,24.28,23.70,24.99
O,5,758,86.02,24.13,23.79,24.70
A2,7731,259.19,46.37,46.38,46.17,48.00
A3,847,274.09,46.39,45.81,45.78,50.95
AB2,704,261.35,45.02,45.46,43.61,48.48
AB3,166,263.83,45.03,45.48,43.21,48.18
B2,604,261.31,43.00,44.42,40.97,48.00
B3,147,302.92,42.73,44.48,42.49,48.00
C2,1240,255.48,41.24,40.61,40.93,42.80
C3,409,281.92,41.67,41.04,41.14,41.50
A0,180,13.66,65.05,64.48,48.08,69.00
A1,1237,15.85,74.73,75.08,71.41,79.00
A2,12463,20.15,74.34,76.67,61.50,80.03
A3,1761,22.44,71.74,76.28,64.30,79.07
A4,203,22.76,64.25,69.03,60.24,71.37
A5,44,23.12,62.04,65.14,55.30,73.52
A6,170,22.32,66.28,66.65,55.17,67.14
AB2,259,19.52,63.42,63.94,62.09,68.83
AB3,143,27.01,67.01,62.26,66.98,77.70
B2,424,24.36,63.41,63.93,56.11,70.06
B3,396,27.03,54.61,56.90,58.00,67.95
C2,1154,23.98,58.27,59.48,53.88,67.00
C3,199,27.33,57.71,59.78,51.45,72.07
PIGS,Units,Avg,Avg,Purch,Purch,Purch
A2,11549,262.38,37.65,37.35,36.47,40.80
A3,1573,274.85,38.00,37.62,36.50,40.95
AB2,416,257.47,36.22,36.91,32.00,39.80
AB3,130,284.28,36.36,37.08,34.00,39.80
B2,312,252.91,33.22,34.18,27.80,41.22
B3,83,291.26,33.97,33.94,27.12,36.50
C2,1518,245.73,32.35,33.29,29.45,35.96
C3,493,276.35,32.59,33.50,29.57,35.50
A0,396,13.35,46.77,46.75,41.42,54.70
A1,1757,16.69,59.09,59.41,55.02,63.00
A2,14711,20.06,60.88,59.68,55.87,63.98
A3,3122,21.80,61.53,58.94,56.04,62.52
A4,767,22.30,52.05,50.04,46.20,53.38
A5,204,22.01,47.13,45.31,39.97,49.56
A6,266,20.71,47.11,46.48,40.17,50.00
AB2,290,21.36,52.04,51.12,43.06,55.78
AB3,75,24.49,50.07,49.54,43.59,54.00
B2,420,24.43,48.81,49.85,42.00,52.58
B3,128,28.07,47.44,48.20,44.02,50.95
C2,1173,24.80,46.23,46.69,40.50,55.22
C3,401,27.03,46.51,44.59,38.39,51.37
B2,350,269.36,40.47,42.49,40.31,44.36
B3,149,297.13,40.54,42.91,41.78,44.01
C3,647,299.29,39.58,41.34,39.89,42.17
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,21,13.04,54.10,62.50,60.60,69.00
A1,208,14.39,73.39,70.13,68.51,75.00
A3,583,24.31,75.25,74.11,71.10,82.10
A4,22,22.84,70.05,68.41,62.58,78.50
A5,2,19.40,57.73,53.83,53.83,53.83
A6,10,24.85,62.25,57.99,52.28,77.50
AB2,77,23.17,69.79,70.76,63.56,73.48
